video_id,date,start,text
k1lsPwMGRhM,20201224,0,Yeah. Relax everyday Search! Seize! Make sure you are Turkish
k1lsPwMGRhM,20201224,57,Oh Oh Dream
k1lsPwMGRhM,20201224,207,Oh Oh Oh Oh Oh Marriage theme is chat and marriage theme is destiny. Love you all big time. Smile a face. Wow what's up guys. Oh liver is therapists. Delete your label. um link it destiny what did the u.s. but also slash mainly Britain stand to gain from the war in Iraq
k1lsPwMGRhM,20201224,446,what did the u.s. stand to gain I copied someone on this email as well and she'll be saying why didn't why wouldn't you just see see them on the email why would you what do you copy them like
k1lsPwMGRhM,20201224,461,you know what these people doing whoa okay it's alright respond to this jesus boom okay um uh... i have no idea cc stands for carbon copy true bcc stands for blind carbon copy wait why you guys telling what cc stands for
k1lsPwMGRhM,20201224,492,no some ladies that she copied an email to somebody but she didn't actually see seer bc so i'm assuming she copied the whole email and then email it to another person i don't know why you would do that
k1lsPwMGRhM,20201224,500,unless you know how to see the way you know it is whatever i do you both look i do you have to i don't know about i don't know about ok how you guys do you can't see bcc right
k1lsPwMGRhM,20201224,513,why would you be cc i'm scheduling i'm trying to block from trying to reserve um... and i'm gonna reserve twenty four rooms at a hotel uh... for the upcoming canvassing thing uh... so i'll cover like lodging basically and we're just going back and forth negotiating a race for that basically
k1lsPwMGRhM,20201224,528,figure how many rooms you want copying someone on an email means to cc them well that's what i would assume maybe not but they didn't see anybody you see when you see see somebody just put everybody in one room
k1lsPwMGRhM,20201224,547,we're trying to be covid safe some doing like no more than like eight to sixteen to a room so that is not covid safe dg g isn't allowed to celebrate christmas long as you have six weeks in your room you can probably do like on a clean bed i'd say you probably
k1lsPwMGRhM,20201224,570,like three to four people you sleep on the corners america's missy one to two on a couch depending on height and then you got like probably five to ten on the floor depending on how much that is a fire hazard
k1lsPwMGRhM,20201224,586,uh... not as long as i'm the ground floor of the world of all the end of the posters who donated to the charity streams oh yeah you can throw people in the bathtub and shit to you like i mean i dropped the saddle and like you're out right now
k1lsPwMGRhM,20201224,603,melbert listen the only one i've got my okay hold on where were we all okay so okay i'm very slowly cannibalizing the base of my companions over here as well i'm so sorry carson's album so we can expect it
k1lsPwMGRhM,20201224,620,person just for his people are really doing this a classic person to be i'm going to be through the snow in a one-horse open sleigh over the fields we go laughing all the way bells on bob tells ring
k1lsPwMGRhM,20201224,642,making spirits bright what fun it is to write and sing a slang don't you feel like unemployment insurance can be bad for small businesses because people are essentially being paid not to work i work at a restaurant that is super understaffed and nobody wants to work
k1lsPwMGRhM,20201224,660,what else could we do for unemployed people doesn't unemployment only pay you like a percentage of what you got paid for before it doesn't run out after a while it's my understanding of unemployment i would have just used andered tanks to the private living across all i was
k1lsPwMGRhM,20201224,679,looking for as type of tank to work but can i build um can i build multiple oil things um... hold on can i build multiple whatever the fuck this is called this pump jack like just right next to each other and they'll just pump very little oil
k1lsPwMGRhM,20201224,697,i don't really care about the power i can like infinitely power when carson's got fucked he was issued a dmca claim um... if he built me car if he built the background of these songs these must be um...
k1lsPwMGRhM,20201224,714,destiny when are you dropping your christmas album i remember you saying back in the starcraft days you always wanted to wrap in real life don't let your dreams be means um... you can't remember what i was saying yeah
k1lsPwMGRhM,20201224,736,oh yeah public domain those signs are public domain oh i was going to destroy the base don't you take a day off you work too much destiny uh... well about to take like two weeks off coming up so if you like
k1lsPwMGRhM,20201224,758,merry christmas steven love you um... tomorrow i think i go to Nebraska we get nathan and after that we go to florida and after that we do Disney World for a couple days and then we go to will uh... miami for a couple days
k1lsPwMGRhM,20201224,776,uh... we post instastories i would nathan yeah i have to so that we're not right or sit on some of my kid i go oh at least look at my look at my instagram i do i don't want you to think i'm a bad father
k1lsPwMGRhM,20201224,810,so i don't want to post a lot of stories how do you plan to feel about not showing up for holidays um... i don't know my parents like holidays but i'm not really much family person i have to build a tier five minor to get the next fucking level of bullshit
